Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Carsen Edwards,SG,21,BOS,35,0,316,37,113,0.327,21,68,0.309,16,45,0.356,0.42,11,13,0.846,6,37,43,22,10,3,15,33,106
Henry Ellenson,PF,23,BRK,5,0,15,1,7,0.143,0,4,0,1,3,0.333,0.143,0,0,,2,4,6,1,0,0,0,1,2
Wayne Ellington,SG,32,NYK,36,1,558,61,174,0.351,50,143,0.35,11,31,0.355,0.494,11,13,0.846,4,61,65,44,13,4,18,41,183
Joel Embiid,C,25,PHI,44,44,1329,332,701,0.474,56,161,0.348,276,540,0.511,0.514,311,382,0.814,122,398,520,137,38,58,135,151,1031
James Ennis,SF,29,TOT,61,10,1053,128,294,0.435,47,139,0.338,81,155,0.523,0.515,63,78,0.808,61,138,199,54,29,20,43,109,366
James Ennis,SF,29,PHI,49,0,776,100,226,0.442,37,106,0.349,63,120,0.525,0.524,48,61,0.787,48,102,150,41,23,14,31,85,285
James Ennis,SF,29,ORL,12,10,277,28,68,0.412,10,33,0.303,18,35,0.514,0.485,15,17,0.882,13,36,49,13,6,6,12,24,81
Drew Eubanks,PF,22,SAS,14,3,130,21,28,0.75,1,1,1,20,27,0.741,0.768,8,11,0.727,8,27,35,5,2,6,10,21,51
Jacob Evans,SG,22,TOT,29,1,418,45,134,0.336,13,39,0.333,32,95,0.337,0.384,25,29,0.862,9,32,41,31,11,12,25,41,128
Jacob Evans,SG,22,GSW,27,1,414,45,133,0.338,13,38,0.342,32,95,0.337,0.387,25,29,0.862,9,32,41,31,11,12,25,41,128
Jacob Evans,SG,22,MIN,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Dante Exum,SG,24,TOT,35,1,485,56,119,0.471,15,43,0.349,41,76,0.539,0.534,32,43,0.744,12,55,67,40,13,8,31,38,159
Dante Exum,SG,24,UTA,11,0,83,10,23,0.435,2,6,0.333,8,17,0.471,0.478,2,2,1,3,9,12,7,1,2,10,8,24
Dante Exum,SG,24,CLE,24,1,402,46,96,0.479,13,37,0.351,33,59,0.559,0.547,30,41,0.732,9,46,55,33,12,6,21,30,135
Tacko Fall,C,24,BOS,6,0,24,9,12,0.75,0,0,,9,12,0.75,0.75,1,3,0.333,0,11,11,0,0,2,3,5,19
Derrick Favors,C,28,NOP,45,43,1089,189,305,0.62,1,7,0.143,188,298,0.631,0.621,36,62,0.581,147,298,445,75,25,44,51,99,415
Cristiano Felício,PF,27,CHI,22,0,386,34,54,0.63,0,2,0,34,52,0.654,0.63,18,23,0.783,55,47,102,16,10,2,18,34,86
Terrance Ferguson,SF,21,OKC,50,37,1170,74,199,0.372,46,155,0.297,28,44,0.636,0.487,15,19,0.789,23,50,73,45,26,16,30,144,209
Bruno Fernando,C,21,ATL,56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240
Yogi Ferrell,PG,26,SAC,44,0,484,67,169,0.396,19,69,0.275,48,100,0.48,0.453,32,37,0.865,6,42,48,59,14,4,25,31,185
Dorian Finney-Smith,PF,26,DAL,64,61,1898,214,457,0.468,99,265,0.374,115,192,0.599,0.577,70,97,0.722,125,227,352,97,44,37,63,154,597
Bryn Forbes,SG,26,SAS,63,62,1579,242,581,0.417,148,381,0.388,94,200,0.47,0.544,75,90,0.833,12,114,126,108,33,0,57,113,707
Evan Fournier,SG,27,ORL,61,61,1931,408,869,0.47,165,406,0.406,243,463,0.525,0.564,168,205,0.82,17,140,157,193,70,14,120,147,1149
De'Aaron Fox,PG,22,SAC,45,43,1426,329,692,0.475,47,153,0.307,282,539,0.523,0.509,215,306,0.703,30,151,181,304,64,23,141,129,920
Melvin Frazier,SG,23,ORL,15,0,51,6,17,0.353,4,7,0.571,2,10,0.2,0.471,2,4,0.5,1,3,4,1,4,2,3,8,18
Michael Frazier,SG,25,HOU,8,0,66,4,11,0.364,2,8,0.25,2,3,0.667,0.455,4,6,0.667,1,2,3,1,2,0,2,13,14
Tim Frazier,PG,29,DET,27,11,355,34,94,0.362,10,30,0.333,24,64,0.375,0.415,19,24,0.792,9,24,33,93,14,4,36,42,97
Markelle Fultz,PG,21,ORL,64,59,1813,320,676,0.473,30,118,0.254,290,558,0.52,0.496,102,141,0.723,35,178,213,334,83,10,131,126,772
Wenyen Gabriel,PF,22,TOT,28,1,210,20,46,0.435,6,20,0.3,14,26,0.538,0.5,14,20,0.7,18,28,46,8,10,6,16,35,60
Wenyen Gabriel,PF,22,SAC,11,0,61,6,17,0.353,1,8,0.125,5,9,0.556,0.382,6,10,0.6,4,6,10,3,3,2,5,7,19
Wenyen Gabriel,PF,22,POR,17,1,149,14,29,0.483,5,12,0.417,9,17,0.529,0.569,8,10,0.8,14,22,36,5,7,4,11,28,41
Daniel Gafford,C,21,CHI,43,7,609,94,134,0.701,0,0,,94,134,0.701,0.701,32,60,0.533,52,54,106,21,13,56,29,98,220
Danilo Gallinari,PF,31,OKC,55,55,1690,329,749,0.439,165,403,0.409,164,346,0.474,0.549,234,264,0.886,32,270,302,113,40,4,70,66,1057
Langston Galloway,SG,28,DET,66,6,1702,236,542,0.435,132,331,0.399,104,211,0.493,0.557,73,85,0.859,33,116,149,101,48,11,40,96,677
Darius Garland,PG,20,CLE,59,59,1824,280,699,0.401,105,296,0.355,175,403,0.434,0.476,63,72,0.875,27,84,111,229,42,4,151,92,728
Marc Gasol,C,35,TOR,36,35,990,99,236,0.419,51,127,0.402,48,109,0.44,0.528,26,36,0.722,29,199,228,124,28,33,43,101,275
Rudy Gay,PF,33,SAS,60,5,1287,222,502,0.442,58,185,0.314,164,317,0.517,0.5,99,113,0.876,56,266,322,101,26,28,78,89,601
Paul George,SF,29,LAC,42,42,1222,291,674,0.432,133,333,0.399,158,341,0.463,0.53,165,187,0.882,22,219,241,162,56,20,113,101,880
Taj Gibson,C,34,NYK,62,56,1025,167,286,0.584,4,14,0.286,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379
Harry Giles,PF,21,SAC,38,17,579,116,207,0.56,0,0,,116,207,0.56,0.56,33,43,0.767,33,126,159,49,21,14,35,100,265
Shai Gilgeous-Alexander,SG,21,OKC,63,63,2214,442,935,0.473,78,222,0.351,364,713,0.511,0.514,254,317,0.801,45,339,384,208,70,45,117,108,1216
Rudy Gobert,C,27,UTA,62,62,2142,353,506,0.698,0,0,,353,506,0.698,0.698,228,367,0.621,211,639,850,93,47,124,120,196,934
Brandon Goodwin,PG,24,ATL,34,1,430,76,190,0.4,26,87,0.299,50,103,0.485,0.468,28,30,0.933,11,61,72,51,12,4,29,43,206
Aaron Gordon,PF,24,ORL,58,58,1914,314,726,0.433,68,226,0.301,246,500,0.492,0.479,137,203,0.675,103,338,441,215,50,36,94,116,833
Eric Gordon,SG,31,HOU,34,13,972,162,438,0.37,92,288,0.319,70,150,0.467,0.475,78,103,0.757,8,57,65,52,22,12,36,68,494
Devonte' Graham,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145
Treveon Graham,SG,26,TOT,55,20,929,87,242,0.36,33,120,0.275,54,122,0.443,0.428,36,56,0.643,51,99,150,45,24,6,29,102,243
Treveon Graham,SG,26,MIN,33,20,663,62,175,0.354,20,83,0.241,42,92,0.457,0.411,27,37,0.73,29,71,100,30,17,2,19,66,171
Treveon Graham,SG,26,ATL,22,0,266,25,67,0.373,13,37,0.351,12,30,0.4,0.47,9,19,0.474,22,28,50,15,7,4,10,36,72
Jerami Grant,PF,25,DEN,64,22,1676,263,558,0.471,88,220,0.4,175,338,0.518,0.55,128,172,0.744,53,174,227,79,44,52,55,141,742
Josh Gray,PG,26,NOP,2,0,23,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,2,0,0,5,1,2
Danny Green,SG,32,LAL,61,61,1529,178,425,0.419,113,299,0.378,65,126,0.516,0.552,32,44,0.727,44,162,206,86,76,29,54,129,501
Draymond Green,PF,29,GSW,43,43,1222,123,316,0.389,36,129,0.279,87,187,0.465,0.446,63,83,0.759,23,243,266,266,59,33,98,110,345
JaMychal Green,PF,29,LAC,55,0,1130,125,302,0.414,74,204,0.363,51,98,0.52,0.536,32,44,0.727,75,273,348,43,25,20,45,146,356
Javonte Green,SF,26,BOS,44,1,414,49,98,0.5,6,23,0.261,43,75,0.573,0.531,23,36,0.639,18,62,80,23,23,7,18,37,127
Jeff Green,PF,33,TOT,40,2,754,116,261,0.444,48,138,0.348,68,123,0.553,0.536,57,73,0.781,23,90,113,32,21,15,36,65,337
Jeff Green,PF,33,UTA,30,2,553,75,195,0.385,34,104,0.327,41,91,0.451,0.472,49,63,0.778,14,67,81,20,12,10,27,46,233
Jeff Green,PF,33,HOU,10,0,201,41,66,0.621,14,34,0.412,27,32,0.844,0.727,8,10,0.8,9,23,32,12,9,5,9,19,104
Blake Griffin,PF,30,DET,18,18,512,88,250,0.352,27,111,0.243,61,139,0.439,0.406,76,98,0.776,17,67,84,59,7,7,40,27,279
Marko Guduric,SG,24,MEM,42,0,476,61,154,0.396,25,81,0.309,36,73,0.493,0.477,23,25,0.92,14,57,71,45,12,8,36,34,170
Kyle Guy,SG,22,SAC,2,0,4,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,0,2
Rui Hachimura,PF,21,WAS,41,41,1217,218,456,0.478,20,73,0.274,198,383,0.517,0.5,92,111,0.829,63,185,248,70,34,7,41,89,548
Devon Hall,SG,24,OKC,5,0,20,1,5,0.2,0,2,0,1,3,0.333,0.2,3,4,0.75,0,1,1,3,0,0,1,1,5
Donta Hall,PF,22,DET,4,0,48,1,4,0.25,0,0,,1,4,0.25,0.25,4,6,0.667,6,9,15,2,1,1,2,9,6
Dusty Hannahs,SG,26,MEM,2,0,13,4,9,0.444,2,3,0.667,2,6,0.333,0.556,2,2,1,0,1,1,0,0,0,0,1,12
Tim Hardaway Jr.,SG,27,DAL,63,50,1815,346,792,0.437,185,455,0.407,161,337,0.478,0.554,121,151,0.801,23,175,198,124,39,5,61,105,998
James Harden,SG,30,HOU,61,61,2241,603,1386,0.435,271,769,0.352,332,617,0.538,0.533,619,719,0.861,64,324,388,450,106,53,273,206,2096
Maurice Harkless,SF,26,TOT,62,48,1427,142,283,0.502,34,98,0.347,108,185,0.584,0.562,39,66,0.591,55,185,240,68,58,33,53,148,357
Maurice Harkless,SF,26,LAC,50,38,1141,112,217,0.516,27,73,0.37,85,144,0.59,0.578,24,42,0.571,47,153,200,48,49,30,46,120,275
Maurice Harkless,SF,26,NYK,12,10,286,30,66,0.455,7,25,0.28,23,41,0.561,0.508,15,24,0.625,8,32,40,20,9,3,7,28,82
Jared Harper,PG,22,PHO,3,0,8,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,0,0,0,0,0,0,0,0,2
Montrezl Harrell,C,26,LAC,63,2,1749,471,812,0.58,0,18,0,471,794,0.593,0.58,231,351,0.658,163,282,445,107,39,72,108,146,1173
Gary Harris,SG,25,DEN,56,55,1780,218,519,0.42,70,210,0.333,148,309,0.479,0.487,75,92,0.815,26,137,163,118,76,14,60,116,581
Joe Harris,SF,28,BRK,63,63,1946,332,705,0.471,152,369,0.412,180,336,0.536,0.579,62,83,0.747,60,212,272,130,38,16,93,138,878
Tobias Harris,PF,27,PHI,65,65,2243,494,1046,0.472,117,323,0.362,377,723,0.521,0.528,154,191,0.806,54,386,440,205,49,35,97,148,1259
Shaquille Harrison,SF,26,CHI,43,10,484,77,165,0.467,16,42,0.381,61,123,0.496,0.515,39,50,0.78,22,64,86,49,34,19,19,55,209
Josh Hart,SF,24,NOP,57,14,1563,200,481,0.416,111,325,0.342,89,156,0.571,0.531,68,91,0.747,54,316,370,94,59,21,65,144,579
Isaiah Hartenstein,C,21,HOU,23,2,266,44,67,0.657,0,5,0,44,62,0.71,0.657,19,28,0.679,29,61,90,18,9,12,16,41,107
Udonis Haslem,PF,39,MIA,3,0,21,1,6,0.167,0,2,0,1,4,0.25,0.167,3,4,0.75,0,8,8,1,0,0,0,3,5
Jaxson Hayes,C,19,NOP,56,12,951,155,235,0.66,1,4,0.25,154,231,0.667,0.662,109,173,0.63,82,141,223,51,23,53,41,142,420
Gordon Hayward,SF,29,BOS,45,45,1501,305,607,0.502,74,189,0.392,231,418,0.553,0.563,94,111,0.847,45,249,294,185,35,20,79,81,778
